Latitude UTM (m),Longitude UTM (m)
426378,2976741
426379,2976732
426380,2976724
426379,2976715
426378,2976706
426377,2976697
426376,2976688
426375,2976679
426373,2976670
426371,2976661
426370,2976652
426368,2976642
426366,2976633
426368,2976625
426369,2976617
426370,2976608
426372,2976600
426377,2976592
426382,2976584
426387,2976577
426392,2976569
426399,2976564
426405,2976559
426412,2976553
426419,2976548
426425,2976543
426432,2976538
426438,2976532
426444,2976526
426451,2976521
426457,2976515
426464,2976510
426470,2976504
426476,2976499
426483,2976493
426489,2976488
426494,2976481
426500,2976474
426505,2976467
426511,2976460
426516,2976453
426522,2976446
426527,2976439
426532,2976432
426539,2976426
426545,2976420
426551,2976415
426558,2976409
426564,2976403
426571,2976399
426578,2976395
426586,2976391
426595,2976388
426603,2976385
426612,2976382
426621,2976383
426630,2976384
426639,2976385
426648,2976386
426656,2976391
426664,2976395
426672,2976400
426680,2976404
426689,2976409
426697,2976413
426703,2976419
426710,2976424
426717,2976429
426723,2976434
426724,2976434
426730,2976439
426737,2976444
426745,2976449
426752,2976453
426760,2976457
426767,2976462
426777,2976465
426786,2976468
426795,2976472
426804,2976473
426814,2976475
426823,2976477
426832,2976478
426841,2976480
426849,2976481
426858,2976483
426866,2976484
426875,2976486
426883,2976487
426891,2976488
426900,2976490
426908,2976491
426916,2976493
426925,2976494
426933,2976495
426941,2976497
426950,2976498
426958,2976500
426966,2976501
426975,2976502
426983,2976504
426992,2976506
427000,2976507
427009,2976509
427017,2976510
427025,2976512
427034,2976513
427042,2976515
427051,2976516
427059,2976518
427067,2976519
427076,2976521
427084,2976523
427093,2976524
427101,2976525
427109,2976526
427118,2976527
427126,2976528
427134,2976529
427142,2976531
427151,2976532
427159,2976533
427167,2976534
427175,2976535
427184,2976536
427192,2976537
427200,2976538
427209,2976539
427217,2976539
427225,2976539
427234,2976539
427242,2976539
427250,2976539
427259,2976539
427267,2976539
427275,2976539
427284,2976538
427292,2976538
427300,2976538
427309,2976538
427317,2976537
427325,2976536
427334,2976536
427342,2976535
427351,2976535
427359,2976534
427368,2976533
427376,2976531
427384,2976529
427393,2976527
427401,2976525
427410,2976523
427418,2976520
427426,2976518
427435,2976516
427443,2976514
427451,2976512
427460,2976510
427468,2976507
427476,2976504
427484,2976501
427492,2976498
427500,2976495
427508,2976493
427516,2976490
427524,2976487
427532,2976484
427540,2976481
427548,2976478
427556,2976476
427564,2976474
427572,2976472
427580,2976470
427580,2976470
427588,2976468
427596,2976466
427604,2976464
427612,2976463
427620,2976461
427628,2976459
427635,2976457
427643,2976455
427651,2976454
427659,2976452
427667,2976450
427675,2976448
427683,2976447
427691,2976445
427699,2976443
427707,2976442
427715,2976440
427723,2976438
427731,2976436
427739,2976433
427742,2976432
427747,2976430
427755,2976428
427763,2976425
427771,2976423
427779,2976420
427786,2976418
427794,2976415
427802,2976413
427810,2976410
427818,2976408
427826,2976405
427833,2976402
427841,2976398
427849,2976395
427856,2976392
427864,2976388
427872,2976385
427879,2976382
427887,2976378
427889,2976378
427895,2976375
427902,2976371
427909,2976368
427916,2976364
427924,2976360
427931,2976357
427938,2976353
427945,2976350
427953,2976346
427960,2976342
427967,2976339
427975,2976335
427982,2976331
427989,2976326
427996,2976321
428003,2976317
428010,2976312
428018,2976307
428025,2976302
428032,2976297
428039,2976292
428046,2976287
